letter,count_all,count_uppercase,percentage
a,59,7,9.44%
b,7,3,1.12%
c,25,7,4.00%
d,20,4,3.20%
e,80,10,12.80%
f,17,4,2.72%
g,11,3,1.76%
h,16,0,2.56%
i,39,4,6.24%
j,1,0,0.16%
k,7,3,1.12%
l,28,4,4.48%
m,15,0,2.40%
n,51,8,8.16%
o,44,0,7.04%
p,13,2,2.08%
q,0,0,0.00%
r,45,3,7.20%
s,29,8,4.64%
t,55,4,8.80%
u,17,1,2.72%
v,2,0,0.32%
w,18,10,2.88%
x,5,0,0.80%
y,20,1,3.20%
z,1,1,0.16%
